Citation,Site,tau_*bf,Slope,D50 (m),Width (m),Depth (m),Discharge (m3/s)
Li et. al (2015),Tonle Sap (at Kompong Chhnang) Cambodia,6.169890909,0.0000167,0.00001,1402.08,6.096,7079.211648
Li et. al (2015),"Bennihalla (above Railway Bridge, Gadag Hubli line) India",6.289963636,0.000227,0.00004,137.16,1.8288,453.0695455
Li et. al (2015),"Redihalla (above Railway Bridge, Gadag Hubliline)",5.241636364,0.000227,0.00004,146.304,1.524,339.8021591
Li et. al (2015),"Jhelum (at Shrinager, J. and K. state)  India",10.4934102,0.000137,0.000041,102.108,5.1816,396.4358523
Li et. al (2015),Mohor (at Kapadgan Gujrat state) India,25.68997886,0.00046,0.000043,152.4,3.9624,1132.673864
Li et. al (2015),"Bear Creek below Brigden, Ontario, Canada",7.677419355,0.00033,0.000062,25.67,2.38,27.94
Li et. al (2015),Tiffin River at Stryker (USGS Sta No. 04185000),1.776526112,0.0001,0.000094,41.20896,2.755392,54.65151392
Li et. al (2015),"Burhi Gandak (at Muzaffarpur, Bihar state) India",5.264727273,0.00019,0.0001,213.36,4.572,1415.84233
Li et. al (2015),"Red Willow Creek near Red Willow, NE",11.92330579,0.001,0.00011,13.716,2.16408,62.86339943
Li et. al (2015),"Vatrak (at Kaira, Gujrat state) India",8.482676364,0.000328,0.00015,205.74,6.4008,2123.763494
Li et. al (2015),"Vatrak (at Mehmadabad, Gujrat state) India",7.496971636,0.000342,0.00015,178.308,5.42544,1359.208636
Li et. al (2015),Barwon,2.323232323,0.000115,0.00015,40,5,210
Li et. al (2015),Indus (at Hajipur) Pakistan,1.642020202,0.0001,0.00018,982.98,4.8768,7079.211648
Li et. al (2015),"Yamuna (at Hamirpur, U.P. state) India",5.874327273,0.000159,0.00018,975.36,10.9728,30582.19432
Li et. al (2015),Bhagirathi (in West Bengal state) India,1.16070303,0.000058,0.00018,217.932,5.9436,1670.693949
Li et. al (2015),Ramganga (in U.P. state) India,2.485067943,0.0001065,0.00019,344.424,7.3152,6611.983679
Li et. al (2015),Athabasca River at Embarras Airport,1.531291866,0.00009,0.00019,441.96,5.334,2605.149886
Li et. al (2015),Lesser Slave (Slave Lake/at Hwy 2),0.87376,0.00011,0.0002,59.436,2.62128,107.3208486
Li et. al (2015),Amazon River at Obidos,1.275849697,0.00000875,0.0002,2286,48.11776,216340.708
Li et. al (2015),Solimoes,2.084848485,0.000016,0.0002,1043,43,90000
Li et. al (2015),"Owl Creek near Thermopolis, WY",5.145974026,0.0015,0.00021,10.668,1.18872,16.56535526
Li et. al (2015),Peace River at Peace Point,2.280374215,0.000074,0.00022,737.616,11.18616,16706.93949
Li et. al (2015),Salt Creek near Chandlersville (USGS Sta no. 03149500),8.869227843,0.0015,0.000239,24.003,2.33172,59.18220938
Li et. al (2015),"McKenzie Creek near Caledonia, Ontario, Canada",4.698181818,0.0034,0.00025,22.3,0.57,15.29
Li et. al (2015),"Willow Creek above Little Lake, Ontario, Canada",9.134545455,0.0024,0.00025,13.7,1.57,22.65
Li et. al (2015),"Tapi (at Nanavaracha, Gujrat state) India",13.54420364,0.00047,0.00025,605.3328,11.8872,21237.63494
Li et. al (2015),"South Loup River near Cumro, NE",16.18210909,0.003,0.00025,43.5864,2.22504,58.89904091
Li et. al (2015),"Arikaree River at Haigler, NE",4.433454545,0.002,0.00025,20.7264,0.9144,99.10896307
Li et. al (2015),"Republican River near Benkleman, NE",5.541818182,0.003,0.00025,37.4904,0.762,61.58914134
Li et. al (2015),Solimoes,1.156363636,0.000018,0.00025,3201,26.5,120000
Li et. al (2015),Amazon,1.934545455,0.000021,0.00025,2722,38,161330
Li et. al (2015),Brahmaputra,2.472727273,0.000068,0.00025,3400,15,60000
Li et. al (2015),Pembina River below Paddy Creek,3.188676923,0.00033,0.00026,79.248,4.14528,566.3369318
Li et. al (2015),"Frenchman Creek at Hamlet, NE",5.781279461,0.0013,0.00027,10.9728,1.9812,24.0693196
Li et. al (2015),Red Deer River near Empress/near Bindloss,1.781298701,0.0003,0.00028,225.2472,2.7432,849.5053978
Li et. al (2015),Swan River near Kinuso,1.579736677,0.0002,0.00029,42.0624,3.77952,148.9466131
Li et. al (2015),"Saraswati (at Sidhpur, Gujrat state) India",6.542424242,0.00125,0.0003,320.04,2.5908,1274.258097
Li et. al (2015),Mississippi (Cairo to Memphis) U.S.,2.760133333,0.0000815,0.0003,2143.9632,16.764,42475.26989
Li et. al (2015),Red Deer River near Buffalo Bridge (No: 00255; p. 72),1.377777778,0.00031,0.0003,187,2.2,850
Li et. al (2015),Rio Parana (Argentina),1.01010101,0.00005,0.0003,1600,10,16000
Li et. al (2015),Saskatchewan,1.733333333,0.000286,0.0003,600,3,1240
Li et. al (2015),Solimoes at Teresina,1.305050505,0.000038,0.0003,2160,17,60000
Li et. al (2015),Solimoes at Santo Antonio,1.339393939,0.000034,0.0003,2140,19.5,70000
Li et. al (2015),Upper Parana at Porto Rico,3.742222222,0.00011,0.0003,1150,16.84,12300
Li et. al (2015),Parana at Curtiembre,1.27030303,0.000048,0.0003,1330,13.1,20500
Li et. al (2015),Parana,1.04,0.000044,0.0003,1320,11.7,17140
Li et. al (2015),Araguai at Luis Alves,1.333333333,0.0001,0.0003,507,6.6,3700
Li et. al (2015),Araguai at Sao Felix,1.484848485,0.000098,0.0003,621,7.5,6000
Li et. al (2015),Mekong River at Wat Sop  (No: 00248; p. 71),1.551906158,0.00007,0.00031,776,11.34,16300
Li et. al (2015),Mekong River at Nong Khai (No: 00249; p. 71),2.449266862,0.00009,0.00031,625,13.92,16950
Li et. al (2015),Medicine River near Eckville,3.191014663,0.00051,0.00031,46.3296,3.2004,130.2574943
Li et. al (2015),Yamuna (at Delhi) India,2.326409091,0.00031,0.00032,365.76,3.9624,1982.179261
Li et. al (2015),"Orsong (near Bhadeli, Gujrat state) India",11.509375,0.001595,0.00032,579.12,3.81,4400.43796
Li et. al (2015),Red Deer River near Dutchess Bridge (No: 00253; p. 72),1.86446281,0.00027,0.00033,226,3.76,1133
Li et. al (2015),East Prarie near Enilda,6.605399449,0.0005,0.00033,38.7096,7.19328,396.4358523
Li et. al (2015),Mississippi,4.552034632,0.000248,0.00035,1975,10.6,28000
Li et. al (2015),Red Deer River near Jenner Ferry (p. 72),1.421052632,0.0003,0.00038,186,2.97,850
Li et. al (2015),"Middle Fork Powder River near Kaycee, WY",3.048,0.0015,0.0004,14.3256,1.34112,46.15645994
Li et. al (2015),"Sinú River; Bogata, Columbia",2.181818182,0.000288,0.0004,140,5,1200
Li et. al (2015),Assiniboine,6.666666667,0.001,0.0004,200,4.4,290
Li et. al (2015),Parana at Corrientes,1.002272727,0.000049,0.0004,1490,13.5,27330
Li et. al (2015),Araguai at Aruana ,1.363636364,0.00015,0.0004,385,6,3200
Li et. al (2015),Orinoco at Musinacio,1.581818182,0.00006,0.0004,1770,17.4,64600
Li et. al (2015),Japura at Acanaui,0.872727273,0.000036,0.0004,1042,16,21000
Li et. al (2015),Japura at Villa Bittencourt,0.931818182,0.000041,0.0004,1028,15,20000
Li et. al (2015),"River Bollin at Castle Mill, UK (No: 00234; p. 69)",5.064935065,0.003,0.00042,12,1.17,13
Li et. al (2015),McClintock River near Whitehorse (p. 66),1.846969697,0.00053,0.00044,31,2.53,55
Li et. al (2015),"Niger River at Jebba, Nigeria (p. 72)",0.525252525,0.00013,0.00045,515,3,1500
Li et. al (2015),"South Fork Republican River near Benkleman, NE",1.77030303,0.002,0.00048,30.48,0.70104,127.4258097
Li et. al (2015),Beaver (Alberta) Canada,0.798021818,0.00024,0.0005,54.864,2.7432,141.584233
Li et. al (2015),Mississippi (Vicksurg to Angola) U.S.,1.1533632,0.0000473,0.0005,1381.3536,20.1168,42475.26989
Li et. al (2015),"Paradise Creek near Paradise, KS",2.881745455,0.001,0.0005,9.7536,2.37744,36.81190057
Li et. al (2015),"White River at Interior, SD",4.285672727,0.002,0.0005,89.3064,1.76784,308.6536279
Li et. al (2015),"Greybull River near Basin, WY",1.717963636,0.0015,0.0005,40.8432,0.94488,88.9148983
Li et. al (2015),"San Francisco River near Reserve, New Mexico",7.214545455,0.0064,0.0005,17.1,0.93,12
Li et. al (2015),"Murrumbidgee River (Yarrada Lagoon, New South Wales, Australia)",0.72078646,0.000132576,0.00052,70.104,4.664765217,283.1684659
Li et. al (2015),New River near Lake Butler,0.256938843,0.00017,0.00055,14.1732,1.3716,8.80653929
Li et. al (2015),"Murrumbidgee River (Maude, New South Wales, Australia)",0.508890558,7.58E-05,5.70E-04,50.292,6.317672727,254.8516193
Li et. al (2015),Fenholloway River near Foley,1.202292758,0.0008,0.00059,6.096,1.46304,7.022577955
Li et. al (2015),Econfina River near Perry,0.442134128,0.0002,0.00061,11.70432,2.22504,10.61881747
Li et. al (2015),"Murrumbidgee River (Currawarna, New South Wales, Australia)",0.620126226,0.000113636,0.00063,76.8096,5.672666667,396.4358523
Li et. al (2015),"Faulkner Branch at Federalsburg, Md.",1.194954545,0.0023,0.00064,5.358384,0.54864,2.433549796
Li et. al (2015),Deep Creek near Suwannee Valley,0.328246154,0.00021,0.00065,10.08888,1.6764,11.27010494
Li et. al (2015),Jhelum out-fall channel (J. and K. state) India,0.351533243,0.000085,0.00067,152.4,4.572,481.3863921
Li et. al (2015),"Nassawango Creek near Snow Hill, Md.",0.253103935,0.0003,0.00067,11.09472,0.932688,6.275013205
Li et. al (2015),"Murrumbidgee River (Darlington Point, New South Wales, Australia)",0.576981549,0.000132576,0.00071,67.056,5.098472727,311.4853125
Li et. al (2015),"Little Patuxent River at Guilford, Md.",0.655651729,0.0005,0.00071,15.17904,1.536192,28.99645091
Li et. al (2015),Savannah (in Georgia) U.S.,0.4318,0.00011,0.0008,106.68,5.1816,849.5053978
Li et. al (2015),Little Otter Creek,1.154545455,0.002,0.0008,23.59152,0.762,24.17126025
Li et. al (2015),Juniper Creek near Niceville,0.395909315,0.00056,0.00081,11.03376,0.94488,7.192479034
Li et. al (2015),"Murrumbidgee River (Wantabadgery, New South Wales, Australia)",0.816587223,0.000284091,0.00088,73.4568,4.173609959,368.1190057
Li et. al (2015),"Murrumbidgee River (Narrandera, New South Wales, Australia)",0.822192111,0.000208333,0.0009,74.9808,5.860585366,566.3369318
Li et. al (2015),"Murrumbidgee River (Hay, New South Wales, Australia)",0.4834187,0.000113636,0.00095,74.676,6.668277551,566.3369318
Li et. al (2015),"Salandi (at Bidhyadharpur below Salandi dam, Orissa state) India",1.289242424,0.00067,0.00096,152.4,3.048,849.5053978
Li et. al (2015),"Murderkill River near Felton, DE",0.169210182,0.0004,0.001,10.2108,0.697992,2.831684659
Li et. al (2015),"NW Br Anacostia River near Colesville, Md.",1.364529686,0.0017,0.00113,12.45108,1.496568,25.68337986
Li et. al (2015),"Murrumbidgee River (Carrathool, New South Wales, Australia)",0.405077068,0.000132576,0.0013,64.9224,6.553915493,453.0695455
Li et. al (2015),Bear Creek near Youngstown,0.170592837,0.00023,0.00132,14.44752,1.61544,12.43109565
Li et. al (2015),Shoal River near Mossy Head,0.439650909,0.00051,0.00135,18.04416,1.92024,37.09506904
Li et. al (2015),"Patuxent River near Unity, Md.",1.070239072,0.0021,0.00141,15.8496,1.185672,29.59110469
Li et. al (2015),"Mutha (at Poona, Maharashtra state) India",1.650230303,0.00067,0.0015,152.4,6.096,849.5053978
Li et. al (2015),Tapi (at Ukai Gujrat state) India,1.102590909,0.000191,0.0016,274.32,15.24,16990.10796
Li et. al (2015),"Little Falls at Blue Mount, Md.",0.994448485,0.0019,0.00174,20.7264,1.502664,47.4024012
Li et. al (2015),Brushy Creek near Walnut Hill,0.340306624,0.00078,0.00199,11.70432,1.43256,9.96753
